/home/user/anaconda3/lib/python3.12/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
[v3.1 env init] xvel_boost_multiplier = 5.0
[v3.1 env init] Ours reward weights = {'alpha_W_pos': 0.3, 'alpha_W_neg': 0.6, 'alpha_E_damp': 0.5, 'alpha_E_fric': 0.5, 'alpha_E_norm': 1.0}
Using cuda device
Logging to logs/w3_ours_v3.1/seed1/tb_logs/PPO_1
---------------------------------
| energy/            |          |
|    std                  | 0.596       |
|    value_loss           | 0.0519      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0321      |
|    E_fric_J             | 0.00544     |
|    E_norm_J             | 0.0191      |
|    W_neg_J              | 0.0389      |
|    W_pos_J              | 0.0679      |
| reward/                 |             |
|    r_energy             | -0.0816     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.29       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 107         |
|    time_elapsed         | 9593        |
|    total_timesteps      | 438272      |
| train/                  |             |
|    approx_kl            | 0.019998074 |
|    clip_fraction        | 0.24        |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.59       |
|    explained_variance   | 0.868       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0985     |
|    n_updates            | 1060        |
|    policy_gradient_loss | -0.0153     |
|    std                  | 0.594       |
|    value_loss           | 0.0581      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00375     |
|    E_fric_J             | 0.00376     |
|    E_norm_J             | 0.00127     |
|    W_neg_J              | 0.00431     |
|    W_pos_J              | 0.0126      |
| reward/                 |             |
|    r_energy             | -0.0114     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.15       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 108         |
|    time_elapsed         | 9686        |
|    total_timesteps      | 442368      |
| train/                  |             |
|    approx_kl            | 0.020045415 |
|    clip_fraction        | 0.265       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.55       |
|    explained_variance   | 0.892       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0818     |
|    n_updates            | 1070        |
|    policy_gradient_loss | -0.0184     |
|    std                  | 0.592       |
|    value_loss           | 0.0476      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0296      |
|    E_fric_J             | 0.00563     |
|    E_norm_J             | 0.0186      |
|    W_neg_J              | 0.0341      |
|    W_pos_J              | 0.0668      |
| reward/                 |             |
|    r_energy             | -0.0768     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -3.16       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 109         |
|    time_elapsed         | 9778        |
|    total_timesteps      | 446464      |
| train/                  |             |
|    approx_kl            | 0.024137035 |
|    clip_fraction        | 0.261       |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.51       |
|    explained_variance   | 0.875       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0753     |
|    n_updates            | 1080        |
|    policy_gradient_loss | -0.0207     |
|    std                  | 0.59        |
|    value_loss           | 0.0549      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0038      |
|    E_fric_J             | 0.00401     |
|    E_norm_J             | 0.00142     |
|    W_neg_J              | 0.0048      |
|    W_pos_J              | 0.0105      |
| reward/                 |             |
|    r_energy             | -0.0114     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -2.91       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 110         |
|    time_elapsed         | 9871        |
|    total_timesteps      | 450560      |
| train/                  |             |
|    approx_kl            | 0.022613311 |
|    clip_fraction        | 0.28        |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.48       |
|    explained_variance   | 0.837       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0961     |
|    n_updates            | 1090        |
|    policy_gradient_loss | -0.0201     |
|    std                  | 0.588       |
|    value_loss           | 0.0685      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.0309      |
|    E_fric_J             | 0.00512     |
|    E_norm_J             | 0.0191      |
|    W_neg_J              | 0.0433      |
|    W_pos_J              | 0.0583      |
| reward/                 |             |
|    r_energy             | -0.0806     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -2.78       |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 111         |
|    time_elapsed         | 9963        |
|    total_timesteps      | 454656      |
| train/                  |             |
|    approx_kl            | 0.022281267 |
|    clip_fraction        | 0.28        |
|    clip_range           | 0.2         |
|    entropy_loss         | -8.44       |
|    explained_variance   | 0.867       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0884     |
|    n_updates            | 1100        |
|    policy_gradient_loss | -0.0175     |
|    std                  | 0.586       |
|    value_loss           | 0.0504      |
-----------------------------------------
-----------------------------------------
| energy/                 |             |
|    E_damp_J             | 0.00324     |
|    E_fric_J             | 0.00347     |
|    E_norm_J             | 0.00128     |
|    W_neg_J              | 0.00449     |
|    W_pos_J              | 0.0105      |
| reward/                 |             |
|    r_energy             | -0.0105     |
| rollout/                |             |
|    ep_len_mean          | 82          |
|    ep_rew_mean          | -2.7        |
| time/                   |             |
|    fps                  | 45          |
|    iterations           | 112         |
|    time_elapsed         | 10055       |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.022290532 |
|    clip_fraction        | 0.264       |
